temporada,competicion,nun_equipos,campeon,subcampeon
2022-2023,UEFA Champions League,78,Manchester City,Internazionale
2021-2022,UEFA Champions League,80,Real Madrid,Liverpool
2020-2021,UEFA Champions League,79,Chelsea,Manchester City
2019-2020,UEFA Champions League,79,Bayern Munich,Paris Saint-Germain
2018-2019,UEFA Champions League,79,Liverpool,Tottenham Hotspur
2017-2018,UEFA Champions League,79,Real Madrid,Liverpool
2016-2017,UEFA Champions League,78,Real Madrid,Juventus
2015-2016,UEFA Champions League,78,Real Madrid,Atlético Madrid
2014-2015,UEFA Champions League,77,Barcelona,Juventus
2013-2014,UEFA Champions League,76,Real Madrid,Atlético Madrid
2012-2013,UEFA Champions League,76,Bayern Munich,Dortmund
2011-2012,UEFA Champions League,75,Chelsea,Bayern Munich
2010-2011,UEFA Champions League,76,Barcelona,Manchester United
2009-2010,UEFA Champions League,76,Internazionale,Bayern Munich
2008-2009,UEFA Champions League,76,Barcelona,Manchester United
2007-2008,UEFA Champions League,76,Manchester United,Chelsea
2006-2007,UEFA Champions League,73,Milan,Liverpool
2005-2006,UEFA Champions League,74,Barcelona,Arsenal
2004-2005,UEFA Champions League,72,Liverpool,Milan
2003-2004,UEFA Champions League,72,Porto,Monaco
2002-2003,UEFA Champions League,72,Milan,Juventus
2001-2002,UEFA Champions League,72,Real Madrid,Bayer Leverkusen
2000-2001,UEFA Champions League,72,Bayern Munich,Valencia
1999-2000,UEFA Champions League,71,Real Madrid,Valencia
1998-1999,UEFA Champions League,56,Manchester United,Bayern Munich
1997-1998,UEFA Champions League,55,Real Madrid,Juventus
1996-1997,UEFA Champions League,24,Dortmund,Juventus
1995-1996,UEFA Champions League,24,Juventus,Ajax
1994-1995,UEFA Champions League,24,Ajax,Milan
1993-1994,UEFA Champions League,42,Milan,Barcelona
1992-1993,UEFA Champions League,36,Marseille,Milan
