"Año";"Periodo";"Parámetro";"Posesión (%)"
"2024";"Año";"Bayern";"56,1"
"2024";"Año";"Dortmund";"48,7"
"2024";"Año";"PSG";"60,4"
"2024";"Año";"Real Madrid";"53,1"
;;
;;
"Métrica":"Posesión (%)"
"Fuente":"<a href="https://www.driblab.com/es/" target="_blank">https://www.driblab.com/es/</a>"
"Clasificación":""
"Unidad":"Total"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/equipos-mayor-posesion-balon/deb78594-f33b-498d-8196-b4623839d122"
"Titulo":"Equipos con mayor posesión de balón"
"Subtitulo":"UEFA Champions League 2023-24"
