SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2022-2023,Manchester City,13,8,5,0,32,5,3
2022-2023,Inter,13,7,3,3,19,11,0
2022-2023,Real Madrid,12,8,2,2,26,13,3
2022-2023,AC Milan,12,5,3,4,15,11,1
2022-2023,SL Benfica,10,6,3,1,26,13,3
2022-2023,Bayern München,10,8,1,1,22,6,3
2022-2023,SSC Napoli,10,7,1,2,26,8,3
2022-2023,Chelsea FC,10,5,1,4,12,9,0
2022-2023,Liverpool FC,8,5,0,3,19,12,0
2022-2023,Eintracht Frankfurt,8,3,1,4,7,13,0
2022-2023,RB Leipzig,8,4,1,3,14,17,0
2022-2023,FC Porto,8,4,1,3,12,8,0
2022-2023,Tottenham Hotspur,8,3,3,2,8,7,3
2022-2023,Paris Saint-Germain,8,4,2,2,16,10,3
2022-2023,Borussia Dortmund,8,3,3,2,11,7,3
2022-2023,Club Brugge KV,8,3,2,3,8,11,3
2022-2023,RB Salzburg,6,1,3,2,5,9,1
2022-2023,Sevilla FC,6,1,2,3,6,12,0
2022-2023,Maccabi Haifa,6,1,0,5,7,21,0
2022-2023,Juventus,6,1,0,5,9,13,0
2022-2023,FC Copenhagen,6,0,3,3,1,12,0
2022-2023,Dinamo Zagreb,6,1,1,4,4,11,3
2022-2023,Celtic FC,6,0,2,4,4,15,0
2022-2023,Shakhtar Donetsk,6,1,3,2,8,10,3
2022-2023,Viktoria PlzeÅˆ,6,0,0,6,5,24,0
2022-2023,FC Barcelona,6,2,1,3,12,12,3
2022-2023,Sporting CP,6,2,1,3,8,9,3
2022-2023,Rangers,6,0,0,6,2,22,0
2022-2023,AFC Ajax,6,2,0,4,11,16,3
2022-2023,Olympique Marseille,6,2,0,4,8,8,0
2022-2023,AtlÃ©tico de Madrid,6,1,2,3,5,9,3
2022-2023,Bayer Leverkusen,6,1,2,3,4,8,0
